Company,Phone,City,State,Power Units,Status,Tag,Call_Attempts,Last_Called
PRIMETIME TRANSPORTER LLC,(916) 821-9700,HOUSTON,TX,1,,ACTIVE SMALL FLEET,0,
BUCHON TRANSPORT LLC,(408) 465-6410,GILROY,CA,2,,ACTIVE SMALL FLEET,0,
MK TRUCKING CORP,(305) 414-9496,MIAMI,FL,1,,ACTIVE SMALL FLEET,0,
WHITE BEARD LOGISTICS LLC,(503) 344-8425,PORTLAND,OR,1,,ACTIVE SMALL FLEET,0,
STAR BOYS TRUCKING LLC,(210) 721-8779,CIBOLO,TX,1,,ACTIVE SMALL FLEET,0,
FTD AUTO LLC - TOWING,(630) 901-4020,BARTLETT,IL,1,,ACTIVE SMALL FLEET,0,
DGGO EXPRESS INC,(779) 702-1154,PLAINFIELD,IL,1,,ACTIVE SMALL FLEET,0,
ONROUTE LOGISTICS LLP,(317) 340-0269,INDIANAPOLIS,IN,1,,ACTIVE SMALL FLEET,0,
ESSEX FREIGHTS LLC,(516) 590-5471,SYOSSET,NY,1,,ACTIVE SMALL FLEET,0,
JB TRANSLINE INC,(559) 304-0459,FRESNO,CA,2,,ACTIVE SMALL FLEET,0,
OUTTHEBOX TRUCKING LLC,(931) 980-6820,CLARKSVILLE,TN,1,,ACTIVE SMALL FLEET,0,
KESAR TRANS INC,(707) 334-0296,FAIRFIELD,CA,1,,ACTIVE SMALL FLEET,0,
AD TEXAS TRANSPORTATIONS LLC,(786) 531-6990,BROOKESMITH,TX,2,,ACTIVE SMALL FLEET,0,
DARMINIC ALEXANDER'S TRUCKING LLC,(502) 489-7409,LOUISVILLE,KY,1,,ACTIVE SMALL FLEET,0,
STB LOGISTIC LLC,(786) 224-9397,MONTGOMERY,AL,1,,ACTIVE SMALL FLEET,0,
RAPID ROUTE TRANSPORTS LLC,(585) 420-8672,LAS VEGAS,NV,1,,ACTIVE SMALL FLEET,0,
MAJHA TRANSLINE INC,(510) 714-6011,FRESNO,CA,1,,ACTIVE SMALL FLEET,0,
JAX CAR HAULING LLC,(904) 576-8748,HILLIARD,FL,1,,ACTIVE SMALL FLEET,0,
BLUE SHIELD CARRIERS LLC,(224) 562-0882,ROUND LAKE,IL,1,,ACTIVE SMALL FLEET,0,
JS TRANSPORT LINE INC,(559) 916-6733,FRESNO,CA,1,,ACTIVE SMALL FLEET,0,
TEN DOWN WJ,(919) 443-9869,DURHAM,NC,0,,ACTIVE SMALL FLEET,0,
MUSOFIR INC,(347) 306-3638,PHILADELPHIA,PA,1,,ACTIVE SMALL FLEET,0,
VALERIAN IULIAN BUDIANU,(971) 271-9617,BORING,OR,1,,ACTIVE SMALL FLEET,0,
ONSOLUTIONS LLC,(904) 392-5717,HAMPSHIRE,TN,1,,ACTIVE SMALL FLEET,0,
SMART TRUCKING FLEET INC,(562) 410-2009,FRESNO,CA,2,,ACTIVE SMALL FLEET,0,
JCPIC TRUCKING COMPANY LLC,(510) 301-5502,RICHMOND,TX,1,,ACTIVE SMALL FLEET,0,
SPEED CARGO LLC,(559) 803-3310,FRANKLIN,IN,1,,ACTIVE SMALL FLEET,0,
DDN LLC,(314) 830-8081,SAINT LOUIS,MO,0,,ACTIVE SMALL FLEET,0,
HIGH CLASS LOGISTICS LLC,(347) 520-1517,MIDDLETOWN,PA,1,,ACTIVE SMALL FLEET,0,
E COSTA LOGISTICS LLC,(843) 333-1184,MYRTLE BEACH,SC,2,,ACTIVE SMALL FLEET,0,
J MCCASKEY TRUCKING INC,(724) 495-9454,NEW BRIGHTON,PA,2,,ACTIVE SMALL FLEET,0,
V2B LOGISTICS LLC,(407) 821-8830,SORRENTO,FL,1,,ACTIVE SMALL FLEET,0,
WADAN EXPRESS LOGISTICS LLC,(726) 888-2001,SAN ANTONIO,TX,2,,ACTIVE SMALL FLEET,0,
HIGHER VIBRATIONS LOGISTICS LLC,(219) 238-4263,HAMMOND,IN,1,,ACTIVE SMALL FLEET,0,
BTM2020 INC,(347) 775-8758,ALBRIGHTSVILLE,PA,2,,ACTIVE SMALL FLEET,0,
DYNASTY LOGISTIC SOLUTIONS LLC,(224) 575-8435,STREAMWOOD,IL,1,,ACTIVE SMALL FLEET,0,
DOBBINS BROTHERS LLC,(734) 560-0169,WAYNE,MI,1,,ACTIVE SMALL FLEET,0,
MOVEFREIGHT TRANSPORTATION INC,(945) 299-0416,EL DORADO HILLS,CA,1,,ACTIVE SMALL FLEET,0,
TULEEN INC,(650) 307-7769,S SAN FRANCISCO,CA,1,,ACTIVE SMALL FLEET,0,
SEMO FREIGHT LLC,(573) 724-0091,HAYTI,MO,1,,ACTIVE SMALL FLEET,0,
TIDWELL TRANSPORTS & LOGISTICS LLC,(936) 955-0413,LUFKIN,TX,1,,ACTIVE SMALL FLEET,0,
ASL1 TRUCKING LLC,(470) 300-9818,HIRAM,GA,2,,ACTIVE SMALL FLEET,0,
ADAS TRANSPORT LLC,(973) 862-9796,CLEMENTON,NJ,1,,ACTIVE SMALL FLEET,0,
SANTANDER INTERNATIONAL LLC,(201) 955-8069,BRICK,NJ,0,,ACTIVE SMALL FLEET,0,
TTRENO INC,(562) 712-8732,EL MONTE,CA,1,,ACTIVE SMALL FLEET,0,
OMARY SHABANI,(832) 921-2652,HUMBLE,TX,1,,ACTIVE SMALL FLEET,0,
JDT TRANSPORTATION LLC,(571) 491-9209,MANASSAS,VA,1,,ACTIVE SMALL FLEET,0,
KADD TRANSPORTATION LLC,(562) 685-6835,LONG BEACH,CA,1,,ACTIVE SMALL FLEET,0,
J&J CARGOVAN LLC,(445) 304-7400,PHILADELPHIA,PA,1,,ACTIVE SMALL FLEET,0,
BABA DEEP SINGH XPRESS TRANS INC,(916) 502-7578,SANTA ROSA,CA,1,,ACTIVE SMALL FLEET,0,
VAR TRANSPORT INC,(916) 279-8761,SACRAMENTO,CA,1,,ACTIVE SMALL FLEET,0,
GTA GROUP LLC,(425) 472-7890,PUYALLUP,WA,1,,ACTIVE SMALL FLEET,0,
PS FREIGHT LLC,(317) 730-2605,BARGERSVILLE,IN,1,,ACTIVE SMALL FLEET,0,
PR TRUCKLINE INC,(559) 552-2655,FRESNO,CA,2,,ACTIVE SMALL FLEET,0,
EFG TRUCKING LLC,(330) 720-3493,NORTH GEORGETOWN,OH,2,,ACTIVE SMALL FLEET,0,
G PHOENIX LOGISTIC LLC,(806) 570-6407,PRESIDIO,TX,1,,ACTIVE SMALL FLEET,0,
ZJBL LOGISTICS INC,(626) 565-5699,MONTEREY PARK,CA,2,,ACTIVE SMALL FLEET,0,
RAIN CITY DELIVERIES LLC,(206) 484-1236,LYNNWOOD,WA,1,,ACTIVE SMALL FLEET,0,
ICE BOX LOGISTICS INC,(424) 444-4347,NORTH HOLLYWOOD,CA,1,,ACTIVE SMALL FLEET,0,
TGMK TRUCKING LLC,(817) 822-8465,MIDLOTHIAN,TX,2,,ACTIVE SMALL FLEET,0,
O&R TRANSPORTING LLC,(813) 669-8063,PORT RICHEY,FL,1,,ACTIVE SMALL FLEET,0,
SERENITY LOGISTICS & FREIGHT SERVICES LLC,(731) 431-6916,OLIVE BRANCH,MS,1,,ACTIVE SMALL FLEET,0,
BLUESTAR ROADLINE INC,(559) 274-7344,FRESNO,CA,1,,ACTIVE SMALL FLEET,0,
NEAL LOGISTICS LLC,(737) 484-7199,AUSTIN,TX,1,,ACTIVE SMALL FLEET,0,
D NAP ENTERPRISES LLC,(409) 423-0578,JASPER,TX,1,,ACTIVE SMALL FLEET,0,
M&A HIDES LLC,(308) 383-6062,AURORA,NE,2,,ACTIVE SMALL FLEET,0,
AK LOGISTICS INC,(909) 991-0631,FONTANA,CA,1,,ACTIVE SMALL FLEET,0,
2E LOGISTICS LLC,(864) 376-8077,SPARTANBURG,SC,1,,ACTIVE SMALL FLEET,0,
BIBRA TRANS INC,(559) 776-1267,KINGSBURG,CA,1,,ACTIVE SMALL FLEET,0,
RJ3 ENTERPRISES INC,(786) 506-2405,MIRAMAR,FL,1,,ACTIVE SMALL FLEET,0,
WHODAT LLC,(505) 334-5541,FARMINGTON,NM,2,,ACTIVE SMALL FLEET,0,
C I B TRUCKING CORP,(910) 249-2310,CLINTON,NC,2,,ACTIVE SMALL FLEET,0,
CAUGH TRUCKING LLC,(571) 239-7659,VIRGINIA BEACH,VA,1,,ACTIVE SMALL FLEET,0,
AASA TRANSPORT LLC,(760) 208-2056,CALEXICO,CA,1,,ACTIVE SMALL FLEET,0,
H&L TRUCKING EXPRESS CORP,(305) 322-9014,HENDERSONVILLE,TN,1,,ACTIVE SMALL FLEET,0,
KOZMIC ROUTE LOGISTICS LLC,(440) 616-0717,LORAIN,OH,1,,ACTIVE SMALL FLEET,0,
DA TEAM INC,(224) 275-3617,WHEELING,IL,2,,ACTIVE SMALL FLEET,0,
RUDRAH CARRIER CORP,(414) 275-9846,INDIANAPOLIS,IN,2,,ACTIVE SMALL FLEET,0,
GATESWAY EXPRESS LLC,(404) 964-2247,LOCUST GROVE,GA,2,,ACTIVE SMALL FLEET,0,
BTL TRUCKING LLC,(815) 383-4134,CLIFTON,IL,1,,ACTIVE SMALL FLEET,0,
DAVID BROWN TRUCKING LLC,(423) 612-2383,JONESBOROUGH,TN,1,,ACTIVE SMALL FLEET,0,
EXPEDITE MOVING TRANSPORT INC,(310) 626-4626,LOS ANGELES,CA,1,,ACTIVE SMALL FLEET,0,
NETHERTON TRUCKING LLC,(931) 644-3323,TOMPKINSVILLE,KY,1,,ACTIVE SMALL FLEET,0,
WIDOWMAKER TRUCKING LLC,(641) 680-8129,WAYLAND,IA,1,,ACTIVE SMALL FLEET,0,
FIRST BAKHT LOGISTIC LLC,(713) 306-6753,PITTSBURGH,PA,1,,ACTIVE SMALL FLEET,0,
5RIVERS LOGISTICS INC,(804) 325-6048,RICHMOND,VA,2,,ACTIVE SMALL FLEET,0,
GORAYA TRANSPORTATION INC,(201) 912-1918,GREENWOOD,IN,1,,ACTIVE SMALL FLEET,0,
EZK SERVICES LLC,(717) 460-7915,HALIFAX,PA,2,,ACTIVE SMALL FLEET,0,
ROUTE 25K INC,(631) 294-4924,PATCHOGUE,NY,1,,ACTIVE SMALL FLEET,0,
VELVE TRANSPORT LLC,(407) 367-9103,ORLANDO,FL,1,,ACTIVE SMALL FLEET,0,
ENOGA LLC,(346) 933-0535,LUBBOCK,TX,1,,ACTIVE SMALL FLEET,0,
VENOU TRANSPORTATION LLC,(561) 577-3706,PORT SAINT LUCIE,FL,1,,ACTIVE SMALL FLEET,0,
B & E ENTERPRISE LLC,(720) 572-0399,FORT LUPTON,CO,1,,ACTIVE SMALL FLEET,0,
HECTOR BAUTISTA,(661) 718-9085,BAKERSFIELD,CA,1,,ACTIVE SMALL FLEET,0,
BPNP LOGISTICS LLC,(432) 999-2504,ODESSA,TX,1,,ACTIVE SMALL FLEET,0,
DHANOA TRANS INC,(226) 898-9525,,,2,,ACTIVE SMALL FLEET,0,
IS TRANSPORT LLC,(816) 944-3333,KANSAS CITY,KS,1,,ACTIVE SMALL FLEET,0,
OUSAMA ALBOUSH,(475) 201-4704,ORANGE,CT,1,,ACTIVE SMALL FLEET,0,
DRAGON SKY TRANSPORTS LLC,(704) 294-0860,GASTONIA,NC,2,,ACTIVE SMALL FLEET,0,
TRU TREK TRUCKING LLC,(409) 497-6066,SANTA FE,TX,1,,ACTIVE SMALL FLEET,0,
JLP CIVIL INC,(443) 553-6922,ELKTON,MD,1,,ACTIVE SMALL FLEET,0,
PHILIPPIANS 4 13 TRANSPORT LLC,(432) 214-9056,ELKO,NV,1,,ACTIVE SMALL FLEET,0,
JUMPING JAX LLC,(513) 678-5225,CINCINNATI,OH,1,,ACTIVE SMALL FLEET,0,
BAM'S TOWING SOLUTION LLC,(270) 938-9839,RUSSELLVILLE,KY,1,,ACTIVE SMALL FLEET,0,
PAULINO DIAZ,(714) 425-3808,TECOPA,CA,1,,ACTIVE SMALL FLEET,0,
NORTH STREAM EXPRESS INC,(937) 938-0534,LOVELAND,OH,1,,ACTIVE SMALL FLEET,0,
MUFASA CARGO LLC,(937) 768-2163,DAYTON,OH,1,,ACTIVE SMALL FLEET,0,
KT&M LOGISTICS LLC,(904) 763-9475,JACKSONVILLE,FL,1,,ACTIVE SMALL FLEET,0,
RIDENHOUR LOGISTICS LLC,(980) 202-9493,STANLEY,NC,1,,ACTIVE SMALL FLEET,0,
SJL MANAGEMENT LLC,(440) 417-2661,CONCORD TOWNSHIP,OH,1,,ACTIVE SMALL FLEET,0,
WERNER EXPRESS LLC,(701) 269-7269,JAMESTOWN,ND,1,,ACTIVE SMALL FLEET,0,
JAMES NATHANIEL CHATMAN,(615) 415-7949,SPRINGFIELD,TN,1,,ACTIVE SMALL FLEET,0,
TRUNORTH TRANSPORT LLC,(717) 222-2893,BETHEL,PA,1,,ACTIVE SMALL FLEET,0,
BRINGS SOLUTION LLC,(786) 299-4857,WINTER HAVEN,FL,1,,ACTIVE SMALL FLEET,0,
DOTA3 INC,(626) 991-7756,CHINO,CA,1,,ACTIVE SMALL FLEET,0,
MST 723 LLC,(845) 499-3573,AIRMONT,NY,1,,ACTIVE SMALL FLEET,0,
MEJIA-JAMES TRANSPORTATION LLC,(337) 300-4876,BEAUMONT,TX,1,,ACTIVE SMALL FLEET,0,
KESETE GHEBREBRHAN,(323) 352-6048,OAKLAND,CA,1,,ACTIVE SMALL FLEET,0,
DLV TRANSPORT LLC,(630) 525-1190,WEST CHICAGO,IL,1,,ACTIVE SMALL FLEET,0,
ABSOLUTE CARRIER SERVICE LLC,(336) 343-2899,BURLINGTON,NC,1,,ACTIVE SMALL FLEET,0,
A GLASS OF ART LLC,(321) 216-1223,ORLANDO,FL,1,,ACTIVE SMALL FLEET,0,
FREIGHT HAULERS LLC,(253) 878-6091,TACOMA,WA,1,,ACTIVE SMALL FLEET,0,
SILVANOS' LOGISTICS LLC,(760) 713-4110,VICTORVILLE,CA,1,,ACTIVE SMALL FLEET,0,
MIDWEST CARGO LLC,(612) 481-4394,SAINT CLOUD,MN,1,,ACTIVE SMALL FLEET,0,
BIG BOX CARRIER LLC,(864) 349-9067,SIMPSONVILLE,SC,1,,ACTIVE SMALL FLEET,0,
M7 RELIABLE TRANSPORTATION LLC,(909) 516-9518,MURRIETA,CA,1,,ACTIVE SMALL FLEET,0,
FIRST ONE TRANSPORT LLC,(832) 289-8510,CHANNELVIEW,TX,1,,ACTIVE SMALL FLEET,0,
FORWARD MOVEMENTS 1 LLC,(202) 292-0977,RICHMOND,VA,1,,ACTIVE SMALL FLEET,0,
SOUTHERN GLOBAL L L C,(318) 432-4555,MONROE,LA,1,,ACTIVE SMALL FLEET,0,
TJ TRUCK LINES INC,(929) 502-0808,SACRAMENTO,CA,1,,ACTIVE SMALL FLEET,0,
RFS TRANSPORT INC,(909) 609-5686,FONTANA,CA,1,,ACTIVE SMALL FLEET,0,
ACCELERATED TRUCKING LOGISTICS LLC,(601) 212-3601,JACKSON,MS,1,,ACTIVE SMALL FLEET,0,
VHN TRUCKING INC,(408) 813-9369,WEST VALLEY CITY,UT,1,,ACTIVE SMALL FLEET,0,
GRIGGS & SONS LLC,(860) 268-7529,ANDOVER,CT,1,,ACTIVE SMALL FLEET,0,
MY 3 LITTLE K'S TRANSPORTATION LLC,(706) 296-5671,HULL,GA,1,,ACTIVE SMALL FLEET,0,
BIC LOGISTICS LLC,(760) 558-9415,SAN JACINTO,CA,2,,ACTIVE SMALL FLEET,0,
787 FLOW TRUCKING LLC,(216) 808-3565,CLEVELAND,OH,1,,ACTIVE SMALL FLEET,0,
2825750 ONTARIO LTD,(716) 583-8672,,,1,,ACTIVE SMALL FLEET,0,
BEST ACTION TRANSPORTATION LLC,(828) 719-5149,FT PIERCE,FL,2,,ACTIVE SMALL FLEET,0,
PROLIFIC TRUCKING INC,(463) 701-7590,GREENWOOD,IN,1,,ACTIVE SMALL FLEET,0,
MAURER TRUCKING LLC,(717) 348-5353,MIFFLIN,PA,1,,ACTIVE SMALL FLEET,0,
MCGRIFFS LAWN CARE LLC,(850) 294-1957,HAVANA,FL,1,,ACTIVE SMALL FLEET,0,
BATTH TRUCK LINE INC,(669) 295-0069,BARGERSVILLE,IN,1,,ACTIVE SMALL FLEET,0,
GG MATOS LLC,(346) 490-9432,HOUSTON,TX,1,,ACTIVE SMALL FLEET,0,
TOUR ANGELS LLC,(702) 219-8765,LAS VEGAS,NV,1,,ACTIVE SMALL FLEET,0,
JAAM HAULING LLC,(559) 349-7352,FRESNO,CA,1,,ACTIVE SMALL FLEET,0,
K & A CARTER TRUCKING LLC,(518) 534-0991,PLATTSBURGH,NY,1,,ACTIVE SMALL FLEET,0,
APPLIANCE INSTALLATION PROFESSIONALS LLC,(832) 417-2658,SPRING,TX,2,,ACTIVE SMALL FLEET,0,
AMAANA EXPRESS LLC,(507) 319-1300,ROCHESTER,MN,1,,ACTIVE SMALL FLEET,0,
LOAM EXPRESS INC,(916) 694-9441,CINCINNATI,OH,1,,ACTIVE SMALL FLEET,0,
ANTWAN JENKINS TRANSPORT LLC,(803) 629-3172,COLUMBIA,SC,1,,ACTIVE SMALL FLEET,0,
DK CUSTOM HAULING LLC,(715) 214-5914,ELEVA,WI,1,,ACTIVE SMALL FLEET,0,
EN TRADE & LOGISTICS LLC,(470) 680-8181,CUMMING,GA,2,,ACTIVE SMALL FLEET,0,
MONARCH INC,(323) 864-6171,MAYWOOD,CA,1,,ACTIVE SMALL FLEET,0,
J & V GUARDIAN ANGEL LLC,(973) 855-7339,SUCCASUNNA,NJ,1,,ACTIVE SMALL FLEET,0,
SEVEN PEAKS TRANSPORT LLC,(801) 310-8652,OREM,UT,1,,ACTIVE SMALL FLEET,0,
2ND TRANSPORT LLC,(407) 256-1594,ORLANDO,FL,2,,ACTIVE SMALL FLEET,0,
NEW EARTH FARM LLC,(314) 329-7301,SAINT LOUIS,MO,1,,ACTIVE SMALL FLEET,0,
FALCON WEST EXPRESS LLC,(559) 704-5732,FRESNO,CA,1,,ACTIVE SMALL FLEET,0,
BOXSIR LOGISTICS LLC,(925) 621-0685,EULESS,TX,1,,ACTIVE SMALL FLEET,0,
OSI LOGISTICS INC,(305) 335-8114,MIAMI GARDENS,FL,1,,ACTIVE SMALL FLEET,0,
YASINI LOGISTICS INC,N/A,OAK LAWN,IL,1,,ACTIVE SMALL FLEET,0,
LARCIN EXPRESS LLC,(856) 383-5548,BURLINGTON,NJ,1,,ACTIVE SMALL FLEET,0,
GIODEME INC,(929) 492-9266,EASTON,PA,1,,ACTIVE SMALL FLEET,0,
RAMIRO TRANSPORTS LLC,(443) 877-8130,NOTTINGHAM,PA,1,,ACTIVE SMALL FLEET,0,
PATRY & LAM INC,(305) 915-4415,MIAMI,FL,2,,ACTIVE SMALL FLEET,0,
AUNTIE NEPHEWS TRANSPORT INC,(770) 689-7988,LITHONIA,GA,2,,ACTIVE SMALL FLEET,0,
DELIGHT GROUP LIMITED,(226) 984-7300,,,2,,ACTIVE SMALL FLEET,0,
ARRGAST CORP,(702) 479-9536,EL CAJON,CA,2,,ACTIVE SMALL FLEET,0,
NATIONAL HEAVY EQUIPMENT TRANSPORT LLC,(305) 725-9570,MIAMI,FL,1,,ACTIVE SMALL FLEET,0,
BS THIND INC,(559) 680-7948,FRESNO,CA,1,,ACTIVE SMALL FLEET,0,
NODE TRANSPORT LLC,(463) 294-5909,INDIANAPOLIS,IN,1,,ACTIVE SMALL FLEET,0,
FRAGMENT LLC,(929) 407-7202,COUNTRYSIDE,IL,1,,ACTIVE SMALL FLEET,0,
LEGIT TRANSPORT LLC,(856) 631-9448,BENSALEM,PA,1,,ACTIVE SMALL FLEET,0,
BETA LOGISTICS LLC,(317) 766-6493,EVANSVILLE,IN,1,,ACTIVE SMALL FLEET,0,
MDM TRUCKING,(817) 319-2902,FORT WORTH,TX,1,,ACTIVE SMALL FLEET,0,
DEVINE LOGISTICS LLC,(464) 210-0197,CALUMET CITY,IL,1,,ACTIVE SMALL FLEET,0,
VECTURA TM LLC,(412) 212-3092,NORTH VERSAILLES,PA,1,,ACTIVE SMALL FLEET,0,
DOUBLE ACES TRANSFER LLC,(276) 794-2655,SAC CITY,IA,1,,ACTIVE SMALL FLEET,0,
SAM ENTITY LLC,(317) 701-9921,INDIANAPOLIS,IN,0,,ACTIVE SMALL FLEET,0,
WILDMAN TRANSIT LLC,(540) 263-2464,RENO,NV,1,,ACTIVE SMALL FLEET,0,
COATESVILLE LOGISTICS COMPANY LLC,(832) 621-5412,HUMBLE,TX,1,,ACTIVE SMALL FLEET,0,
OPEN RHODES TRUCKING COMPANY,(951) 378-7213,TEMECULA,CA,1,,ACTIVE SMALL FLEET,0,
AROUND THE BLOQ LLC,(336) 290-4795,BURLINGTON,NC,1,,ACTIVE SMALL FLEET,0,
LOAD RUNNER LLC,(501) 690-1748,BEEBE,AR,1,,ACTIVE SMALL FLEET,0,
ILB LLC,(912) 401-4481,SAVANNAH,GA,1,,ACTIVE SMALL FLEET,0,
MAYA04 TRUCKING LLC,(561) 260-1821,PORT SAINT LUCIE,FL,1,,ACTIVE SMALL FLEET,0,
DANNY COSBY,(205) 473-4822,PELL CITY,AL,1,,ACTIVE SMALL FLEET,0,
KARENNI TRANSPORT LLC,(336) 940-7573,CLEMMONS,NC,1,,ACTIVE SMALL FLEET,0,
C2C AUTO TRANSPORT INC,(786) 965-3348,AUSTIN,TX,2,,ACTIVE SMALL FLEET,0,
TOP G EXPRESS LLC,(929) 633-0222,SAN ANTONIO,TX,1,,ACTIVE SMALL FLEET,0,
ROSA M LANDSCAPE INC,(305) 395-9287,CLEVELAND,TX,1,,ACTIVE SMALL FLEET,0,
BOX-DELIVERY LLC,(360) 551-5546,FEDERAL WAY,WA,1,,ACTIVE SMALL FLEET,0,
JOSH R LOEWEN,(530) 228-6354,SCIO,OR,1,,ACTIVE SMALL FLEET,0,
DIAZ RELIABLE SERVICES LLC,(813) 724-9710,VALRICO,FL,1,,ACTIVE SMALL FLEET,0,
S&P EXPRESS DELIVERY LLC,(803) 608-9056,WEST COLUMBIA,SC,1,,ACTIVE SMALL FLEET,0,
DOCKMINER INC,(312) 485-1783,BROOKFIELD,IL,1,,ACTIVE SMALL FLEET,0,
KC&S TRANSPORTATION INC,(913) 309-6666,OVERLAND PARK,KS,1,,ACTIVE SMALL FLEET,0,
GREWAL ROADKING INC,(661) 558-3281,FRESNO,CA,2,,ACTIVE SMALL FLEET,0,
STEADY LINE LLC,(503) 489-3782,GRESHAM,OR,1,,ACTIVE SMALL FLEET,0,
US FREIGHT SOLUTION LLC,(956) 219-1209,EDINBURG,TX,1,,ACTIVE SMALL FLEET,0,
J A S TRANSPORTS LLC,(720) 292-0267,DENVER,CO,1,,ACTIVE SMALL FLEET,0,
M&A TRANSPORT LLC,(205) 720-9436,HAYWARD,CA,1,,ACTIVE SMALL FLEET,0,
MPL TRANSPORT LLC,(650) 455-8561,SAN BRUNO,CA,1,,ACTIVE SMALL FLEET,0,
BATISTA TRANSPORT LLC,(505) 620-6399,LOS LUNAS,NM,2,,ACTIVE SMALL FLEET,0,
GOLDEN LEGACY TRANSPORTATION LLC,(909) 994-4019,KATY,TX,1,,ACTIVE SMALL FLEET,0,
TURNER TECHNOLOGIES LLC,(623) 583-4145,GLENDALE,AZ,1,,ACTIVE SMALL FLEET,0,
OFFICE PRO FURNITURE INSTALLERS LLC,(901) 647-9411,MEMPHIS,TN,2,,ACTIVE SMALL FLEET,0,
A & B TRUCKING LLC,(614) 908-5126,COLUMBUS,OH,1,,ACTIVE SMALL FLEET,0,
B&C EXPRESS LLC,(629) 256-9627,BOWLING GREEN,KY,1,,ACTIVE SMALL FLEET,0,
IN A MINUTE EXPRESS LLC,(629) 245-9780,ANTIOCH,TN,0,,ACTIVE SMALL FLEET,0,
SMOOVE TOWING & RECOVER LLC,(973) 474-0779,MARION,SC,1,,ACTIVE SMALL FLEET,0,
HARVEST TIME ENTERPRISES LLC,(323) 348-2819,LOS ANGELES,CA,1,,ACTIVE SMALL FLEET,0,
TBR TRUCKING LLC,(720) 935-4786,COMMERCE CITY,CO,1,,ACTIVE SMALL FLEET,0,
GNF EXPRESS TRANSPORTS LLC,(614) 515-8549,COLUMBUS,OH,1,,ACTIVE SMALL FLEET,0,
RAMFASTEXPRESS LLC,(859) 953-0797,LEXINGTON,KY,1,,ACTIVE SMALL FLEET,0,
BYD TRANSPORTATION INC,(267) 979-2505,SOUTHAMPTON,PA,1,,ACTIVE SMALL FLEET,0,
AB AND SONS TRUCKING INC,(815) 546-1877,LOCKPORT,IL,1,,ACTIVE SMALL FLEET,0,
GMW CONTRACTING LLC,(724) 344-2009,BENTLEYVILLE,PA,1,,ACTIVE SMALL FLEET,0,
ARDVIN GLOBAL LOGISTICS INC,(916) 980-7979,RANCHO CORDOVA,CA,1,,ACTIVE SMALL FLEET,0,
